indicator_basename,example_string,matched_files,count_files,rule_names,guids,has_rmm_guid
filecoauth.exe,%programfiles%\Microsoft OneDrive\*\FileCoAuth.exe,asr_lua_20.bin;asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,6,Block Adobe Reader from creating child processes;Block Office applications from injecting code into other processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
firefox.exe,%programfiles%\WindowsApps\Mozilla.Firefox_*\VFS\ProgramFiles\Firefox Package Root\firefox.exe,asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,6,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
microsoftedgecp.exe,%windir%\systemapps\*\microsoftedgecp.exe,asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,6,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
verclsid.exe,%windir%\system32\verclsid.exe,asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,6,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
wermgr.exe,%windir%\system32\wermgr.exe,asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,6,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
xpsrchvw.exe,%windir%\system32\xpsrchvw.exe,asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,6,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
2010,%programfiles%\microsoft office\2010,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
ai.exe,%programfiles%\WindowsApps\Microsoft.Office.Desktop_*\VFS\ProgramFilesCommonX??\Microsoft Shared\OFFICE16\ai.exe,asr_lua_20.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Office applications from injecting code into other processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
aimgr.exe,%programfiles%\WindowsApps\Microsoft.Office.Desktop_*\VFS\ProgramFilesCommonX??\Microsoft Shared\OFFICE16\aimgr.exe,asr_lua_20.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Office applications from injecting code into other processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
bdeunlock.exe,%windir%\system32\bdeunlock.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
brave.exe,%programfiles%\BraveSoftware\Brave-Browser\Application\brave.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
bucappnt.exe,%windir%\system32\BuCAppNT.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
bumappnt.exe,%windir%\system32\BuMAppNT.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
ctfmon.exe,%windir%\system32\ctfmon.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
epic.exe,%localappdata%\epic privacy browser\application\epic.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
flashplayerupdateservice.exe,%windir%\system32\macromed\flash\flashplayerupdateservice.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
igfxem.exe,%windir%\system32\igfxem.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
igfxhk.exe,%windir%\system32\igfxhk.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
igfxtray.exe,%windir%\system32\igfxtray.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
live meeting 8,%programfiles%\microsoft office\live meeting 8,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
microsoft office 15,%programfiles%\microsoft office 15,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
microsoft office 2003,%programfiles%\microsoft office 2003,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
microsoft office 2010,%programfiles%\microsoft office 2010,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
microsoft office 2016,%programfiles%\microsoft office 2016,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
microsoft office2003,%programfiles%\microsoft office2003,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
microsoft office2007,%programfiles%\microsoft office2007,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
microsoft.uev.synccontroller.exe,%windir%\system32\microsoft.uev.synccontroller.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
mozilla firefox,%programfiles%\mozilla firefox,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
mspaint.exe,%programfiles%\WindowsApps\Microsoft.Paint_*\PaintApp\mspaint.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
notepad.exe,%programfiles%\WindowsApps\Microsoft.WindowsNotepad_*\Notepad\Notepad.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
notes.exe,%programfiles(x86)%\IBM\Notes\notes.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
office,%programfiles%\microsoft office\office,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
office10,%programfiles%\microsoft office\office10,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
office11,%programfiles%\microsoft office\office11,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
office12,%programfiles%\microsoft office\office12,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
office13,%programfiles%\microsoft office\office13,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
office14,%programfiles%\microsoft office\office14,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
office15,%programfiles%\microsoft office\office15,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
office16,%programfiles%\microsoft office\office16,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5,Block Adobe Reader from creating child processes;Block Office communication application from creating child processes;Block all Office applications from creating child processes,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;d7c7c745-195f-4223-9c7a-99fb420fd000;fe87d1eb-b138-42e6-bae7-9e4a186319d5,yes
